French Polynesia,PYF,..,84.07,..,280378,0,24.30,4167
Gabon,GAB,20757.0723768678,68.337,2.85591531,2430747,0,25.20,267668
Gambia,GMB,3254.37457704257,65.86,3.41435836,2697845,0,28.38,10689
Georgia,GEO,25071.9677147202,74.496,7.25569582,3712502,0,9.01,69700
Germany,DEU,69205.8830713936,80.5414634146342,12.60513115,83797985,0,9.59,357114
Ghana,GHA,7543.02674728777,65.498,3.6993649,33149152,0,27.66,238533
Gibraltar,GIB,..,83.553,..,37609,0,18.15,6
Greece,GRC,41181.9912164326,81.5365853658537,8.49983692,10436882,0,13.17,131990
Greenland,GRL,..,71.549756097561,..,56661,0,-18.68,2166086
Grenada,GRD,18807.9447446443,75.205,4.94846392,116913,0,26.49,344
Guam,GUM,..,77.209,..,165180,0,27.81,549
Guatemala,GTM,13750.28790648,72.602,7.44098806,17847877,0,23.65,108889
Guinea,GIN,4383.15219659423,60.74,3.95847702,14055137,0,25.86,245857
Guinea-Bissau,GNB,2862.07122513845,64.085,8.11358356,2105529,0,27.98,36125
Guyana,GUY,54732.1440663013,70.18,3.00636959,821637,0,26.12,214969
Haiti,HTI,3281.21232071513,64.936,3.20848918,11503606,0,24.95,27750
Honduras,HND,7178.80729487996,72.884,8.28209972,10463872,0,24.72,112492
Hong Kong SAR China,HKG,71548.9642046156,85.2473170731707,..,7536100,0,..,1104
Hungary,HUN,45021.3009970981,76.7707317073171,6.68981791,9644377,1,11.50,93028
Iceland,ISL,76356.8105649868,82.6073170731707,9.28593922,382003,0,1.85,103000
India,IND,10166.2434105835,72.003,3.3058846,1425423212,0,24.94,3287590
Indonesia,IDN,15415.6057934697,71.146,2.69394851,278830529,0,25.96,1904569
Iran Islamic Rep.,IRN,17659.8739291119,77.654,5.34889174,90608707,0,18.34,1648195
Iraq,IRQ,14107.2979268389,72.324,4.29332495,44070551,0,22.95,438317
Ireland,IRL,124900.938635241,82.8609756097561,6.11978531,5165700,0,9.73,70273
Isle of Man,IMN,..,80.999,..,84132,0,9.65,572
Israel,ISR,54057.0484059067,83.1951219512195,7.34161806,9557500,0,20.99,20770
Italy,ITA,57801.3662624471,83.7,9.02753067,59013667,0,13.02,301336
Jamaica,JAM,11421.7535570054,71.479,7.77706337,2839144,0,25.91,10991
Japan,JPN,49793.9358226161,84.0412195121951,11.42183685,125124989,0,11.78,377930
Jordan,JOR,10391.0136135688,77.814,6.82820034,11256263,0,20.05,89342
Kazakhstan,KAZ,38515.1836009977,74.402,3.74026752,20034609,1,7.11,2724900
Kenya,KEN,6307.23249419297,63.646,4.32603645,54252461,0,25.08,580367
Kiribati,KIR,3546.91818832629,66.473,10.49855042,130469,0,27.77,811
Korea Dem. People's Rep.,PRK,..,73.642,..,26418204,0,6.98,120538
Korea Rep.,KOR,52203.9685660494,83.4292682926829,9.43414211,51712619,0,12.22,100210
Kosovo,XKX,15141.2457331927,78.033,..,1768096,1,10.02,..
Kuwait,KWT,51561.3638127917,83.1878048780488,4.26875782,4589643,0,26.31,17818
Kyrgyz Republic,KGZ,7106.49114289303,72.2487804878049,4.92258883,6975219.5,1,2.65,199951
Lao PDR,LAO,9291.78859001131,68.964,2.01825476,7559007,1,24.16,236800
Latvia,LVA,41491.5106686408,75.6780487804878,7.62168407,1879383,0,6.87,64559
Lebanon,LBN,..,77.817,5.73500204,5744489,0,15.45,10452
Lesotho,LSO,2880.96631005117,57.375,12.65127754,2286110,1,12.38,30355
Liberia,LBR,1794.53340863361,62.163,13.47386169,5373294,0,25.45,111369
Libya,LBY,13848.7950025505,69.339,4.65005827,7223805,0,22.81,1759540
Liechtenstein,LIE,..,84.8414634146342,..,39493,1,7.55,160
Lithuania,LTU,50914.8638146666,76.9878048780488,7.24335003,2831639,0,7.38,65300
Luxembourg,LUX,139466.401466696,83.3585365853659,5.55154753,653103,1,10.02,2586
Macao SAR China,MAC,116491.070017441,83.1804878048781,..,678800,0,..,30
